"game_play_id","defense","hit_hurry_or_sack","unique_plays","average_prob","coerce"
"2021090900-2893","DAL",0,1,0.409286784629027,0.42855501295531
"2021090900-2915","DAL",1,1,0.620540516030404,0.491405839473334
"2021090900-3014","TB",1,1,0.576864238171016,0.614673399778235
"2021090900-3062","DAL",0,1,0.366876815947203,0.386344404247597
"2021090900-3110","DAL",0,1,0.395278987430391,0.376492864392295
"2021090900-3134","DAL",1,1,0.608029498159885,0.517759388863578
"2021090900-3216","TB",0,1,0.307135013597352,0.320739402769027
"2021090900-3261","TB",0,1,0.33060693823629,0.318640852836293
"2021090900-3306","TB",1,1,0.379988084236781,0.38049344904324
"2021090900-3330","TB",0,1,0.394618136601316,0.452058184254921
"2021090900-3364","TB",1,1,0.485029711723327,0.395699006047044
"2021090900-3406","TB",0,1,0.50600159397492,0.478111752083567
"2021090900-3462","DAL",0,1,0.467393930753072,0.462438773099317
"2021090900-349","TB",1,1,0.704290585517883,0.620693254645683
"2021090900-3588","DAL",0,1,0.0552291187800859,0.054487659215616
"2021090900-3633","DAL",0,1,0.326617252613817,0.356646596108663
"2021090900-3655","DAL",1,1,0.528432095050812,0.532346579066906
"2021090900-3724","TB",1,1,0.501360776027044,0.448913941627616
"2021090900-3746","TB",1,1,0.516965379317602,0.488242029317607
"2021090900-3793","DAL",0,1,0.35388341685757,0.347756703273356
"2021090900-3862","DAL",0,1,0.459823100103272,0.394564779453278
"2021090900-3909","DAL",0,1,0.304440500384027,0.327065973452055
"2021090900-3933","DAL",0,1,0.391299061831974,0.370660383191192
"2021090900-3962","DAL",1,1,0.575009792166598,0.458995745911473
"2021090900-4094","TB",0,1,0.33362806836764,0.339420973524271
"2021090900-410","DAL",0,1,0.360223214142025,0.382189243881814
"2021090900-4141","TB",0,1,0.370279460468075,0.354159214955033
"2021090900-4189","TB",1,1,0.546393511816859,0.45221109123557
"2021090900-4211","TB",1,1,0.52884906809777,0.414475234922907
"2021090900-4246","TB",0,1,0.34648696243763,0.36360286067273
"2021090900-4287","TB",1,1,0.510411101579666,0.431812983802808
"2021090900-434","DAL",0,1,0.434898206416298,0.45401628069136
"2021090900-4393","TB",1,1,0.528401896357536,0.413443197978404
"2021090900-4428","TB",0,1,0.40277641415596,0.384941496174375
"2021090900-4538","DAL",1,1,0.482275304095498,0.430603037905048
"2021090900-456","DAL",0,1,0.317766212821007,0.330816947763812
"2021090900-4560","DAL",1,1,0.535853717189569,0.500139460896873
"2021090900-4624","DAL",1,1,0.37772155219111,0.381104550986433
"2021090900-4653","DAL",0,1,0.370471219653669,0.397353647909488
"2021090900-4677","DAL",0,1,0.326397457825286,0.349566900576524
"2021090900-4699","DAL",0,1,0.380195243491067,0.376506011916643
"2021090900-4728","DAL",0,1,0.410985077682294,0.408578585919517
"2021090900-4750","DAL",0,1,0.401663981378078,0.394779454066188
"2021090900-4772","DAL",0,1,0.447590859399901,0.443074559394348
"2021090900-480","DAL",0,1,0.294944464283831,0.334640503953115
"2021090900-509","DAL",0,1,0.322541481918759,0.330063867804406
"2021090900-559","DAL",0,1,0.346134101351102,0.336554134315219
"2021090900-583","DAL",0,1,0.273344387859106,0.287534478657689
"2021090900-687","TB",1,1,0.473721622066064,0.447934624591812
"2021090900-735","TB",0,1,0.317542060817543,0.29250481245562
"2021090900-764","TB",0,1,0.315071307743589,0.314225674087482
"2021090900-788","TB",1,1,0.437680913851811,0.42412331260166
"2021090900-869","DAL",0,1,0.564368340969086,0.482263376457225
"2021090900-925","DAL",1,1,0.501341102378709,0.402627913511105
"2021090900-947","DAL",0,1,0.366939346257009,0.375473889614956
"2021090900-97","DAL",1,1,0.616279952228069,0.526856359224884
"2021091200-1023","PHI",0,1,0.318189875947105,0.30971839416981
"2021091200-1085","PHI",1,1,0.58906970007552,0.414699336055698
"2021091200-1153","ATL",1,1,0.541723323613405,0.398661636697608
"2021091200-1182","ATL",0,1,0.348314901192983,0.351466498058042
"2021091200-1206","ATL",0,1,0.291301999773298,0.312994142511059
"2021091200-122","PHI",0,1,0.273178164815081,0.247756788751192
"2021091200-1249","ATL",0,1,0.252681221812963,0.216468883013119
"2021091200-1271","ATL",1,1,0.668892374262214,0.46955781975364
"2021091200-1326","PHI",1,1,0.534523880795429,0.411608067888368
"2021091200-1459","PHI",1,1,0.64746875698502,0.45123617290076
"2021091200-146","PHI",0,1,0.30593051844173,0.311743032815379
"2021091200-1494","PHI",0,1,0.287013105370782,0.302841669693361
"2021091200-1558","ATL",0,1,0.324350459670479,0.33548141049756
"2021091200-1582","ATL",0,1,0.328017442673445,0.337885443168978
"2021091200-1606","ATL",0,1,0.207434376462912,0.200656083969106
"2021091200-1630","ATL",0,1,0.359225635528564,0.341701642158792
"2021091200-1732","ATL",0,1,0.43445276755553,0.463005491490835
"2021091200-176","PHI",1,1,0.475523470838865,0.385120096489548
"2021091200-1792","ATL",0,1,0.48120266259933,0.326917418954598
"2021091200-1991","ATL",0,1,0.319082359472911,0.338777210703325
"2021091200-2020","ATL",0,1,0.438594821252321,0.417632773902544
"2021091200-2063","ATL",1,1,0.580101179315689,0.492421743848047
"2021091200-2121","ATL",0,1,0.406973401534146,0.41871243780077
"2021091200-2145","ATL",1,1,0.744256777583428,0.627985493901434
"2021091200-2214","ATL",0,1,0.365051559731364,0.261688533757103
"2021091200-2275","ATL",1,1,0.717495716280407,0.53138155511301
"2021091200-231","PHI",1,1,0.567945012024471,0.501565005335216
"2021091200-2321","ATL",0,1,0.24564712356638,0.25616537781239
"2021091200-2399","ATL",1,1,0.614513484636943,0.456561063333244
"2021091200-2631","ATL",1,1,0.699220282466788,0.489902732710313
"2021091200-2675","PHI",0,1,0.386132565140724,0.361848090038167
"2021091200-2720","PHI",0,1,0.424654294585073,0.367458698814713
"2021091200-2767","ATL",0,1,0.435608994960785,0.360274221722587
"2021091200-2906","ATL",0,1,0.357223301098265,0.340608308146509
"2021091200-2935","ATL",0,1,0.458302267573097,0.46877954042148
"2021091200-2978","PHI",0,1,0.317711121506161,0.327692763416003
"2021091200-303","PHI",0,1,0.34423874777097,0.331761265142904
"2021091200-3045","PHI",0,1,0.362540506503799,0.35342742430138
"2021091200-3110","PHI",0,1,0.370007310224616,0.359455208197059
"2021091200-3145","PHI",0,1,0.426949239439434,0.392503247298293
"2021091200-3383","PHI",0,1,0.331310003995895,0.325041623165261
"2021091200-3416","PHI",0,1,0.277036587893963,0.288622715599121
"2021091200-348","PHI",1,1,0.483783437404782,0.388684182893939
"2021091200-3480","PHI",1,1,0.367130105885175,0.339959511887564
"2021091200-3502","PHI",0,1,0.348702885210514,0.323253835809476
"2021091200-3599","ATL",0,1,0.509236035378356,0.475881491593192
"2021091200-3659","ATL",0,1,0.441450310024348,0.421881251550411
"2021091200-370","PHI",0,1,0.22852402393307,0.193649463056241
"2021091200-3728","PHI",0,1,0.271307474970818,0.280745115850276
"2021091200-3752","PHI",0,1,0.277460707558526,0.260967494339069
"2021091200-3776","PHI",0,1,0.288710922235623,0.288637291284137
"2021091200-3798","PHI",0,1,0.301907882094383,0.304454211347597
"2021091200-3820","PHI",1,1,0.579297442920506,0.414571865981644
"2021091200-3928","ATL",0,1,0.440744150429964,0.42945266808509
"2021091200-3988","PHI",0,1,0.287144887447357,0.298427735137383
"2021091200-4017","PHI",0,1,0.307934651772181,0.320408337811458
"2021091200-4041","PHI",1,1,0.516143434680998,0.388661900486386
"2021091200-4112","PHI",1,1,0.694827016443014,0.479324676357147
"2021091200-4131","ATL",1,1,0.579242989834812,0.411557553111944
"2021091200-4240","PHI",0,1,0.293098722067144,0.256993538236672
"2021091200-4274","PHI",0,1,0.291046396545742,0.30824212927719
"2021091200-4298","PHI",1,1,0.638910915045177,0.454222979089148
"2021091200-4317","PHI",1,1,0.34479449902262,0.336327077214228
"2021091200-4346","PHI",1,1,0.712625579254047,0.521134382877389
"2021091200-56","PHI",0,1,0.375816100173526,0.353818743823634
"2021091200-605","ATL",0,1,0.438760846853256,0.430667431893706
"2021091200-705","PHI",1,1,0.687963585490766,0.628496990503474
"2021091200-750","PHI",0,1,0.360366252837358,0.343147096504719
"2021091200-821","PHI",0,1,0.305723757336014,0.321111779651709
"2021091200-843","PHI",1,1,0.76712139978491,0.55624237799698
"2021091200-864","PHI",1,1,0.582469955086708,0.593402276897052
"2021091200-966","PHI",1,1,0.590518533535626,0.539740795065647
"2021091201-1058","PIT",1,1,0.459952573884617,0.40712353167151
"2021091201-1087","PIT",0,1,0.262708937376738,0.236113341349206
"2021091201-111","PIT",1,1,0.459428630769253,0.377758734866342
"2021091201-1148","PIT",0,1,0.366919668281779,0.37288195411421
"2021091201-1172","PIT",0,1,0.351226492569997,0.350024151654136
"2021091201-1234","BUF",0,1,0.388653538189828,0.360041050431385
"2021091201-1300","BUF",0,1,0.364192803268847,0.37831106175852
"2021091201-1367","PIT",1,1,0.50889618974179,0.443015843349814
"2021091201-1393","PIT",1,1,0.64625905062023,0.456853964325353
"2021091201-1422","BUF",0,1,0.286287233233452,0.297186768802881
"2021091201-1446","BUF",1,1,0.754564770311117,0.60441725941656
"2021091201-1486","BUF",1,1,0.366987516880035,0.396525605576936
"2021091201-1548","PIT",1,1,0.542640889883041,0.439556796289251
"2021091201-1572","PIT",1,1,0.593514969572425,0.419692721969304
"2021091201-1605","PIT",0,1,0.345727063038132,0.334113084319894
"2021091201-1629","PIT",0,1,0.381683666791235,0.380326253789441
"2021091201-1653","PIT",1,1,0.479449055194855,0.469762417120102
"2021091201-1710","PIT",1,1,0.536694160766072,0.520080119991828
"2021091201-1746","PIT",1,1,0.353181111915358,0.355703200972596
"2021091201-1808","PIT",0,1,0.246933577412909,0.282865830603043
"2021091201-1870","PIT",1,1,0.486789767940839,0.395096917469882
"2021091201-1951","PIT",1,1,0.453934849500656,0.395758254077346
"2021091201-2126","BUF",1,1,0.691161278559237,0.498951470023406
"2021091201-2209","BUF",1,1,0.560381199057038,0.506210482155738
"2021091201-2302","BUF",1,1,0.600175699702016,0.473302985763052
"2021091201-2362","PIT",0,1,0.341231787334318,0.349901224346168
"2021091201-2392","PIT",0,1,0.334326552848021,0.339297406629407
"2021091201-2414","PIT",0,1,0.401192569418957,0.394461244265432
"2021091201-2438","PIT",0,1,0.306096114218235,0.327716375528654
"2021091201-2483","PIT",0,1,0.347844440241655,0.345582978378107
"2021091201-2547","PIT",1,1,0.382753098552877,0.357833916606164
"2021091201-2590","PIT",1,1,0.576907679012844,0.423205137268786
"2021091201-2612","PIT",1,1,0.443137868758171,0.414324341932071
"2021091201-262","BUF",0,1,0.621767850084738,0.580910874006511
"2021091201-2634","BUF",0,1,0.340827592781612,0.349291187407056
"2021091201-2709","BUF",0,1,0.490996723175049,0.475938260484789
"2021091201-2731","BUF",0,1,0.34953526109457,0.36588642915505
"2021091201-2828","BUF",0,1,0.399412958427917,0.335701636038513
"2021091201-2850","BUF",0,1,0.328851313426577,0.347616097302337
"2021091201-2912","PIT",0,1,0.283624954876446,0.298094664363315
"2021091201-2936","PIT",0,1,0.296665022969246,0.314147518754046
"2021091201-2983","PIT",0,1,0.335333787898223,0.350282176806741
"2021091201-3004","PIT",1,1,0.463835911655968,0.419280819660122
"2021091201-3049","PIT",0,1,0.321392703462731,0.329926714088784
"2021091201-3165","BUF",1,1,0.55282215367664,0.506701588159881
"2021091201-3219","BUF",0,1,0.321897238492966,0.331533164218539
"2021091201-3312","PIT",0,1,0.333067139983177,0.346841473915734
"2021091201-3346","PIT",1,1,0.651664176157543,0.418404947850219
"2021091201-3431","PIT",0,1,0.313695629835129,0.333440136403177
"2021091201-345","PIT",1,1,0.605809026077145,0.417333222645526
"2021091201-3584","PIT",0,1,0.342884113914088,0.325111969387882
"2021091201-3655","BUF",0,1,0.319344708631779,0.357848825897576
"2021091201-3709","BUF",0,1,0.401776403784752,0.450451222186997
"2021091201-3756","BUF",0,1,0.390687482089412,0.382429021376237
"2021091201-3799","BUF",0,1,0.365582221746445,0.386790545512849
"2021091201-3878","BUF",1,1,0.393225022902091,0.382733577130694
"2021091201-3967","PIT",0,1,0.408564609785875,0.386621727303362
"2021091201-3989","PIT",1,1,0.640603548288345,0.510623473044716
"2021091201-4011","PIT",1,1,0.393141717524142,0.390289411991277
"2021091201-4033","PIT",1,1,0.548617765307426,0.483058186572135
"2021091201-406","PIT",0,1,0.321025053660075,0.341075051966772
"2021091201-4074","PIT",0,1,0.293639439623803,0.330399399722858
"2021091201-4103","PIT",1,1,0.792278730443546,0.612734019594268
"2021091201-4156","PIT",0,1,0.318404013048048,0.344261035523024
"2021091201-4180","PIT",0,1,0.327457913094097,0.369646738452731
"2021091201-4209","PIT",0,1,0.428346700245334,0.410912455288899
"2021091201-4233","PIT",1,1,0.724907706181208,0.510672628378346
"2021091201-4266","PIT",0,1,0.395559287589529,0.362370049290646
"2021091201-430","PIT",0,1,0.329038128447838,0.343751350181344
"2021091201-454","PIT",0,1,0.410594904864276,0.413562209201629
"2021091201-476","PIT",1,1,0.604661976918578,0.514194521918887
"2021091201-500","PIT",0,1,0.3779482923705,0.387009724653672
"2021091201-561","PIT",0,1,0.298729534364409,0.333119826712011
"2021091201-589","PIT",1,1,0.536462192113201,0.449163083190192
"2021091201-63","PIT",0,1,0.32531560034979,0.335228230407132
"2021091201-639","BUF",0,1,0.329839706420898,0.33781683716961
"2021091201-691","BUF",1,1,0.523578950853059,0.34509930048833
"2021091201-762","PIT",1,1,0.592358369486673,0.476278762896868
"2021091201-856","BUF",0,1,0.290767203677784,0.333003141072634
"2021091201-901","BUF",0,1,0.334703312678771,0.343630811396986
"2021091201-997","BUF",1,1,0.503766322135925,0.431436598236366
"2021091202-1021","NYJ",1,1,0.467686538343076,0.411908681484681
"2021091202-1074","NYJ",1,1,0.630550138652325,0.624832652844305
"2021091202-1113","NYJ",0,1,0.33155122263865,0.298569257149976
"2021091202-1241","CAR",0,1,0.337857378301797,0.336351056707328
"2021091202-1297","CAR",1,1,0.608135718990255,0.506457727432379
"2021091202-1319","CAR",0,1,0.328590379953384,0.320199629015779
"2021091202-1350","NYJ",1,1,0.511336469091475,0.400205648675935
"2021091202-1419","NYJ",1,1,0.6214011031492,0.526472446476855
"2021091202-1441","NYJ",0,1,0.296643479913473,0.295310038362667
"2021091202-1497","CAR",1,1,0.759723149093927,0.631009765128898
"2021091202-1519","CAR",1,1,0.41443485163507,0.353660311177136
"2021091202-1543","CAR",0,1,0.347671492468743,0.325749756784636
"2021091202-1596","CAR",0,1,0.337962324917316,0.336077000756484
"2021091202-1620","CAR",1,1,0.702422071780477,0.595758281571498
"2021091202-1696","NYJ",0,1,0.352076420107403,0.320474541732827
"2021091202-1752","CAR",0,1,0.294925046654848,0.268669565392244
"2021091202-1774","CAR",0,1,0.394430177079307,0.373278161085288
"2021091202-1798","CAR",1,1,0.580711593940144,0.400105856639642
"2021091202-1885","NYJ",1,1,0.482816676298777,0.466424207940679
"2021091202-1909","NYJ",0,1,0.174724862289925,0.16849381171724
"2021091202-1943","NYJ",0,1,0.331666881648394,0.340458128880665
"2021091202-1967","NYJ",0,1,0.352518375962973,0.375974738927736
"2021091202-1991","NYJ",1,1,0.469236710557231,0.410537913134399
"2021091202-210","CAR",1,1,0.607991442084312,0.476397463900468
"2021091202-2153","NYJ",0,1,0.297387405552647,0.291193717592239
"2021091202-2196","NYJ",1,1,0.66184073511292,0.524962408530462
"2021091202-2261","CAR",1,1,0.603276931104206,0.524100868916601
"2021091202-2283","CAR",1,1,0.693905008059961,0.643235026360546
"2021091202-2345","CAR",0,1,0.38679430882136,0.361192341532471
"2021091202-2367","CAR",1,1,0.381538569927216,0.382764532222965
"2021091202-2428","NYJ",0,1,0.330748882273148,0.304608482048887
"2021091202-2457","NYJ",1,1,0.475455686450005,0.387682430115012
"2021091202-2481","NYJ",0,1,0.403277853131294,0.449101703398163
"2021091202-2503","NYJ",1,1,0.553671731190248,0.511771174853373
"2021091202-2543","CAR",1,1,0.791292186826468,0.450196397653289
"2021091202-2586","CAR",0,1,0.427852780981497,0.372878059808624
"2021091202-2662","NYJ",1,1,0.444364499300718,0.404568358896156
"2021091202-2684","NYJ",1,1,0.488518453836441,0.469185170729401
"2021091202-2797","CAR",0,1,0.290693205414396,0.279109889208261
"2021091202-2821","CAR",0,1,0.3635712467134,0.371533880548563
"2021091202-2883","CAR",0,1,0.330067348785889,0.408985304523971
"2021091202-2949","CAR",1,1,0.70163996755213,0.44286873073068
"2021091202-3075","NYJ",0,1,0.345746313100276,0.369719623025589
"2021091202-3376","CAR",1,1,0.470848742127418,0.467791718135244
"2021091202-3398","CAR",1,1,0.781310800102449,0.56708702364146
"2021091202-3420","CAR",1,1,0.703974670171738,0.567079298355199
"2021091202-3490","NYJ",1,1,0.679468214984924,0.433791263930965
"2021091202-3512","NYJ",0,1,0.286116602605787,0.286965138629708
"2021091202-3536","NYJ",0,1,0.426186273495356,0.37711963362143
"2021091202-3635","CAR",0,1,0.299739429219202,0.327084643425438
"2021091202-3675","CAR",0,1,0.398003662454671,0.384075934511664
"2021091202-3699","CAR",0,1,0.37743645279031,0.361028679826302
"2021091202-3723","CAR",0,1,0.351599870359196,0.341838621867843
"2021091202-3745","CAR",1,1,0.480547013314995,0.412467363460814
"2021091202-3767","CAR",1,1,0.551005299274738,0.504212629806626
"2021091202-3791","CAR",1,1,0.487202101584637,0.40470026034238
"2021091202-3820","CAR",1,1,0.557759104406133,0.406801194752853
"2021091202-3843","CAR",1,1,0.356045554791178,0.338298715984739
"2021091202-3889","CAR",0,1,0.35447844998403,0.33228513586914
"2021091202-3914","CAR",0,1,0.478184991262176,0.47051949902199
"2021091202-394","NYJ",0,1,0.401193331588398,0.399968691373406
"2021091202-467","CAR",1,1,0.793073702400381,0.538978786372003
"2021091202-489","CAR",1,1,0.519235428422689,0.472026313542082
"2021091202-602","NYJ",0,1,0.389107707299684,0.387778257570613
"2021091202-664","NYJ",0,1,0.484580889344215,0.503289234931453
"2021091202-688","NYJ",0,1,0.455906278557248,0.479456178641415
"2021091202-815","CAR",1,1,0.623975848329478,0.488988643117097
"2021091202-837","CAR",0,1,0.500594847105645,0.440662562152906
"2021091202-88","CAR",0,1,0.298028485739932,0.280649716954166
"2021091202-935","NYJ",0,1,0.305608802515527,0.26749358465044
"2021091202-957","NYJ",0,1,0.430050135900577,0.449687906344413
"2021091203-1041","CIN",0,1,0.278211881539651,0.26305464995812
"2021091203-1086","CIN",1,1,0.395180560422666,0.352087883626656
"2021091203-125","CIN",0,1,0.433513296501977,0.388116425284079
"2021091203-1258","CIN",0,1,0.284625570688929,0.28954442466031
"2021091203-1414","MIN",1,1,0.76278167792729,0.570343219080875
"2021091203-1485","MIN",0,1,0.332559171915054,0.338789055622984
"2021091203-149","CIN",1,1,0.380068514209527,0.35208935991809
"2021091203-1521","MIN",1,1,0.845927370919122,0.631375715749975
"2021091203-1561","MIN",1,1,0.549610601230101,0.517726540570637
"2021091203-1591","MIN",0,1,0.384589955762581,0.390845635748595
"2021091203-1667","MIN",1,1,0.556742525461948,0.480403487607542
"2021091203-1723","CIN",0,1,0.345618258145722,0.356865484922383
"2021091203-1745","CIN",1,1,0.418257609009743,0.371263044453913
"2021091203-1780","CIN",0,1,0.308235082361433,0.301100328400899
"2021091203-1809","CIN",0,1,0.318289065267891,0.336958102339599
"2021091203-1885","MIN",0,1,0.328998664563352,0.352391428291225
"2021091203-1909","MIN",0,1,0.329061874228975,0.321417847226395
"2021091203-1938","MIN",0,1,0.284089697258813,0.310972314747963
"2021091203-1967","MIN",0,1,0.417781589207826,0.424734428299229
"2021091203-2063","CIN",0,1,0.19598250926444,0.174055539990605
"2021091203-2104","CIN",1,1,0.440959099876253,0.330307711781425
"2021091203-2186","CIN",1,1,0.45939861876624,0.389230854998801
"2021091203-2219","CIN",0,1,0.260122558918961,0.183720481432975
"2021091203-223","CIN",1,1,0.500032473227073,0.405771033758278
"2021091203-2376","MIN",0,1,0.41318581384771,0.42802213263223
"2021091203-2400","MIN",0,1,0.476409641094506,0.427708843603697
"2021091203-2450","MIN",0,1,0.174459856229298,0.223570189514103
"2021091203-2472","MIN",0,1,0.343764671257564,0.352177912894533
"2021091203-2538","MIN",1,1,0.479573717405056,0.484595556000065
"2021091203-258","CIN",0,1,0.274054601788521,0.306547182122243
"2021091203-2685","CIN",1,1,0.589878714510373,0.424265543046397
"2021091203-2751","CIN",0,1,0.273806875402277,0.261333228608136
"2021091203-2773","CIN",0,1,0.238374860663163,0.261733855230889
"2021091203-280","CIN",0,1,0.177545249462128,0.176856189621631
"2021091203-2822","MIN",1,1,0.618267978456887,0.424782326935282
"2021091203-2862","MIN",0,1,0.184628857388383,0.209530285256361
"2021091203-2909","CIN",1,1,0.504937016788651,0.386481818470882
"2021091203-2952","CIN",0,1,0.40549204826355,0.416485024883593
"2021091203-2974","CIN",0,1,0.474567386664842,0.430524546495873
"2021091203-3239","CIN",1,1,0.475422315023563,0.413166593352884
"2021091203-3261","CIN",0,1,0.186832188628614,0.162537192110539
"2021091203-3320","CIN",0,1,0.38339868668587,0.346487574830349
"2021091203-3366","CIN",0,1,0.366125233033124,0.353425761493996
"2021091203-3405","CIN",0,1,0.33283308302534,0.339860459092269
"2021091203-3429","CIN",0,1,0.480494097523067,0.514008778838567
"2021091203-3453","CIN",0,1,0.273328271662367,0.294840882862445
"2021091203-3623","MIN",1,1,0.355033531785011,0.327304778527552
"2021091203-3645","MIN",1,1,0.579429183791323,0.439986878013797
"2021091203-3682","CIN",1,1,0.671180390353714,0.4706700020597
"2021091203-3740","CIN",0,1,0.323039416074753,0.319890449146474
"2021091203-3764","CIN",1,1,0.810631003490714,0.700897940259267
"2021091203-3977","CIN",0,1,0.303235374715017,0.307972446674846
"2021091203-4001","CIN",1,1,0.502928443528988,0.484169007929717
"2021091203-4025","CIN",1,1,0.468330602645874,0.402047776213348
"2021091203-4047","CIN",0,1,0.421897895634174,0.42168472642696
"2021091203-405","MIN",0,1,0.339648535146433,0.317532454687304
"2021091203-4076","CIN",0,1,0.380800401972186,0.380475819690866
"2021091203-4100","CIN",0,1,0.303938202952084,0.31604583830972
"2021091203-4124","CIN",0,1,0.27388479380772,0.307805675223913
"2021091203-4284","MIN",0,1,0.283029673942204,0.268989213855032
"2021091203-4329","MIN",1,1,0.701168426352998,0.48386280149121
"2021091203-4393","CIN",1,1,0.60485278069973,0.494260054929863
"2021091203-4415","CIN",0,1,0.341323722963748,0.359040768824253
"2021091203-4528","MIN",0,1,0.3326183638225,0.334256563887058
"2021091203-4596","CIN",1,1,0.422900907921069,0.348061049420949
"2021091203-4629","CIN",1,1,0.507262614511308,0.420072964109298
"2021091203-4682","CIN",0,1,0.328557177231862,0.33296802514638
"2021091203-4849","MIN",0,1,0.388492424379696,0.386447022417684
"2021091203-533","CIN",1,1,0.525228121701409,0.505590250048167
"2021091203-601","MIN",1,1,0.840519619424169,0.684249408113525
"2021091203-620","MIN",1,1,0.252640205621719,0.213590689873877
"2021091203-672","CIN",1,1,0.568645752966404,0.513041044608826
"2021091203-722","CIN",1,1,0.751372541799102,0.609766325436428
"2021091203-765","CIN",1,1,0.592310377038442,0.301476077313528
"2021091203-845","MIN",0,1,0.400277930498123,0.414346623919844
"2021091203-924","CIN",0,1,0.348986522853375,0.373339679460897
"2021091204-1026","DET",0,1,0.283726154796539,0.27440943840182
"2021091204-1054","DET",0,1,0.3916318251027,0.390662757567895
"2021091204-1163","SF",0,1,0.398593025677132,0.357426513358517
"2021091204-1187","SF",0,1,0.421336524865844,0.414528213304912
"2021091204-1300","SF",1,1,0.493208412613188,0.4345416354078
"2021091204-135","SF",1,1,0.505723952054977,0.441037396950372
"2021091204-1365","DET",1,1,0.442192757129669,0.35497290928365
"2021091204-1443","DET",0,1,0.273708625950597,0.29239617698091
"2021091204-1488","DET",0,1,0.290078452891774,0.319211914667654
"2021091204-157","SF",0,1,0.39918027818203,0.379642713583652
"2021091204-1579","SF",0,1,0.281280325918362,0.303617612585879
"2021091204-1641","SF",0,1,0.218561595386785,0.241342246234162
"2021091204-1670","SF",1,1,0.510435331484367,0.419474530502465
"2021091204-1775","SF",1,1,0.66025799587369,0.442598245302991
"2021091204-1811","SF",0,1,0.485493894815445,0.422931627844301
"2021091204-1916","DET",0,1,0.269885566499498,0.290384458276742
"2021091204-1938","DET",0,1,0.362797050736844,0.360254083387626
"2021091204-1979","DET",1,1,0.708602858659549,0.560339473098401
"2021091204-2034","DET",0,1,0.224637611596673,0.248931385408514
"2021091204-2148","DET",0,1,0.296042733722263,0.380339384934634
"2021091204-2196","DET",0,1,0.277884183824062,0.284789132593662
"2021091204-2263","DET",1,1,0.811338292700904,0.701297952341988
"2021091204-2345","SF",0,1,0.317520280182362,0.325262969557965
"2021091204-2367","SF",0,1,0.291325429523433,0.304244392912777
"2021091204-2421","SF",1,1,0.480060338973999,0.414076814311699
"2021091204-2447","SF",1,1,0.524261940609325,0.494412326624418
"2021091204-2596","DET",1,1,0.60488866686821,0.551000102917543
"2021091204-2652","SF",0,1,0.257310478499642,0.305021452658158
